"Артикул";"Ozon Product ID";"SKU";"Barcode";"Название товара";"Контент-рейтинг";"Бренд";"Статус товара";"Отзывы";"Рейтинг";"Видимость на Ozon";"Причины скрытия";"Дата создания";"Категория комиссии";"Объем товара, л";"Объемный вес, кг";"Доступно к продаже по схеме FBO, шт.";"Вывезти и нанести КИЗ (кроме Твери), шт";"Зарезервировано, шт";"Доступно к продаже по схеме FBS, шт.";"Доступно к продаже по схеме realFBS, шт.";"Зарезервировано на моих складах, шт";"Текущая цена с учетом скидки, ₽";"Цена до скидки (перечеркнутая цена), ₽";"Цена Premium, ₽";"Рыночная цена, ₽";"Актуальная ссылка на рыночную цену";"Размер НДС, %"
"'Б0005308";"15511577";"155665261";"4210201052746";"Насадки для электрической зубной щетки Oral-B TriZone (4 шт) EB 30-4";"'70";"Oral-B";"Продается";"11";"'5.00";"Показывается";;"2019-08-16 14:35:26";"Аксессуары для электроники";"'0.26";"'0.1";"3";"0";"0";"0";"0";"0";"3145.00";"4680.00";;;;"20%"
"'Б0005301/2";"15511649";"157849687";"157849687";"Насадка для зубных щеток Oral-B Stages Kids EB10 Принцессы, 2 шт.";"'30";"Oral-B";"Продается";"0";"'0.00";"Показывается";;"2019-08-16 14:39:15";"Аксессуары для электроники";"'0.02";"'0.1";"1";"0";"0";"8";"0";"0";"1935.00";"2880.00";;;;"20%"
"'81387975";"15511699";"155665588";"4210201072911";"Braun бритвенная сетка + блок Series 5 51S";"'85";"Braun";"Продается";"55";"'4.40";"Показывается";;"2019-08-16 14:44:22";"Аксессуары для электроники";"'0.48";"'0.1";"1";"0";"0";"8";"8";"0";"7165.00";"11360.00";;;;"20%"
"'Б0005399";"15511703";"155665589";"4210201072942";"Сетка и режущий блок 70S для электробритв Braun Series 7";"'30";"Braun";"Продается";"241";"'4.80";"Показывается";;"2019-08-16 14:45:34";"Аксессуары для электроники";"'0.32";"'0.1";"6";"0";"0";"12";"12";"0";"9570.00";"15180.00";;;;"20%"
"'81570020";"15511723";"155665593";"4210201163596";"Сетка и режущий блок Braun Series 3 21B";"'75";"Braun";"Продается";"132";"'5.00";"Показывается";;"2019-08-16 14:49:44";"Аксессуары для электроники";"'0.29";"'0.1";"7";"0";"0";"0";"0";"0";"3925.00";"6030.00";;;;"20%"
"'81444473";"15511724";"155665594";"4210201092223";"Сетка и режущий блок 70B для электробритв Braun Series 7";"'37.5";"Braun";"Продается";"36";"'4.20";"Показывается";;"2019-08-16 14:51:00";"Аксессуары для электроники";"'0.32";"'0.1";"1";"0";"0";"0";"0";"0";"10240.00";"16240.00";;;;"20%"
"'52B";"15511729";"155665595";"4210201072164";"Сетка и режущий блок 52B для электробритв Braun Series 5";"'30";"Braun";"Продается";"54";"'4.80";"Показывается";;"2019-08-16 14:52:01";"Аксессуары для электроники";"'0.29";"'0.1";"6";"0";"0";"7";"7";"0";"8815.00";"13980.00";;;;"20%"
"'51B/81625466";"15511737";"155665646";"4210201095651";"Сетка и режущий блок 51B для электробритв Braun Series 5";"'30";"Braun";"Продается";"57";"'4.70";"Показывается";;"2019-08-16 14:54:30";"Аксессуары для электроники";"'0.29";"'0.1";"1";"0";"0";"20";"20";"0";"7000.00";"11100.00";;;;"20%"
"'30B";"15511802";"155665649";"4210201072744";"Сетка и режущий блок 30B для электробритв Braun Series 3";"'15";"Braun";"Продается";"71";"'4.90";"Показывается";;"2019-08-16 14:57:55";"Аксессуары для электроники";"'0.26";"'0.1";"5";"0";"0";"0";"0";"0";"5275.00";"8360.00";;;;"20%"
"'81387934/81253250";"15581416";"156174500";"4210201072676";"Сетка и режущий блок 20S для электробритв Braun 2000 Calypso cruZer";"'15";"Braun";"Продается";"5";"'5.00";"Показывается";;"2019-08-22 06:10:16";"Аксессуары для электроники";"'0.26";"'0.1";"2";"0";"0";"0";"0";"0";"3465.00";"5580.00";;;;"20%"
"'7030946";"15581445";"156174471";"2003883685010";"Эпилирующая головка для эпилятора Braun, стандартная, 40 пинцетов";"'40";"Braun";"Готов к продаже";"108";"'5.00";"Показывается";;"2019-08-22 06:10:38";"Косметическая техника";"'0.43";"'0.1";"0";"0";"0";"0";"0";"0";"6370.00";"8600.00";;;;"20%"
"'31S";"15581453";"156174466";"4210201072829";"Сетка и режущий блок 31S для электробритв Braun Series 3";"'15";"Braun";"Продается";"7";"'5.00";"Показывается";;"2019-08-22 06:10:44";"Аксессуары для электроники";"'0.26";"'0.1";"1";"0";"0";"0";"0";"0";"4080.00";"6470.00";;;;"20%"
"'81465100";"15581483";"156174509";"2003883685027";"Эпилирующая головка для эпилятора Braun, стандартная";"'40";"Braun";"Продается";"7";"'0.00";"Показывается";;"2019-08-22 06:11:10";"Косметическая техника";"'0.43";"'0.1";"6";"0";"0";"5";"5";"0";"3660.00";"4870.00";;;;"20%"
"'81555552";"15581531";"156174527";"2003883685034";"Эпилирующая головка для эпилятора Braun, стандартная, 28 пинцетов";"'40";"Braun";"Продается";"22";"'0.00";"Показывается";;"2019-08-22 06:11:38";"Косметическая техника";"'0.43";"'0.1";"6";"0";"0";"10";"10";"0";"5865.00";"8490.00";;;;"20%"
"'Б0041485";"15606694";"156326282";"4210201223351";"Эпилятор Braun Silk-epil 5 Beauty Set SES 5-895";"'92.5";"Braun";"Продается";"343";"'4.90";"Показывается";;"2019-08-23 09:32:48";"Косметическая техника";"'3.64";"'0.8";"3";"0";"0";"0";"0";"0";"19830.00";"25740.00";;;;"20%"
"'Б0027735";"15606696";"156326384";"4210201163305";"Мужская электробритва Braun Series 3 300s Black";"'87.5";"Braun";"Продается";"383";"'4.90";"Показывается";;"2019-08-23 09:33:49";"Электронные товары для красоты и здоровья";"'1.32";"'0.4";"6";"0";"0";"0";"0";"0";"6515.00";"9170.00";;;;"20%"
"'Б0033365";"15617383";"156335031";"4210201190530";"Эпилятор Braun SES 5/500";"'92.5";"Braun";"Продается";"343";"'4.90";"Показывается";;"2019-08-23 13:57:44";"Косметическая техника";"'2.52";"'0.5";"11";"0";"0";"0";"0";"0";"12120.00";"16590.00";;;;"20%"
"'Б0035166";"15617501";"156335388";"4210201190202";"Эпилятор Braun Silk-epil 9 SensoSmart 9/880";"'92.5";"Braun";"Продается";"23";"'4.70";"Показывается";;"2019-08-23 14:23:40";"Косметическая техника";"'3.64";"'0.8";"8";"0";"0";"9";"9";"0";"24800.00";"33960.00";;;;"20%"
"'Б0029413";"15643015";"156790242";"4210201174745";"Эпилятор Braun Silk-epil 3 3321";"'92.5";"Braun";"Готов к продаже";"179";"'4.60";"Показывается";;"2019-08-26 07:53:25";"Косметическая техника";"'2.52";"'0.5";"0";"0";"0";"0";"0";"0";"8530.00";"12910.00";;;;"20%"
"'Б0035156";"15643261";"156791261";"4210201190288";"Эпилятор Braun Silk-epil 3 - 3420 + стайлер для бикини";"'92.5";"Braun";"Продается";"179";"'4.60";"Показывается";;"2019-08-26 08:16:03";"Косметическая техника";"'2.52";"'0.5";"2";"0";"0";"0";"0";"0";"10750.00";"16280.00";;;;"20%"
"'Б0005369";"15644299";"156798647";"4210201656043";"Эпилятор Braun Silk-epil 1 1370";"'62.5";"Braun";"Продается";"343";"'4.90";"Показывается";;"2019-08-26 10:00:35";"Косметическая техника";"'1.89";"'0.4";"7";"0";"0";"7";"7";"0";"7785.00";"11790.00";;;;"20%"
"'Б0005419";"15697114";"157538306";"3030050182415";"Фен-щетка Braun Satin Hair 7 AS720";"'72.5";"Braun";"Продается";"18";"'4.90";"Показывается";;"2019-08-30 06:46:11";"Электронные товары для красоты и здоровья";"'3.41";"'0.7";"3";"0";"0";"0";"0";"0";"8395.00";"11040.00";;;;"20%"
"'Б0016647";"15697145";"157540733";"4210201631644";"Фен-щетка Braun Satin Hair 5 AS 530 MN, Black";"'77.5";"Braun";"Продается";"33";"'0.00";"Показывается";;"2019-08-30 06:59:27";"Электронные товары для красоты и здоровья";"'5.28";"'1.1";"0";"0";"0";"29";"29";"0";"7230.00";"10990.00";;;;"20%"
"'0X21010006";"15742034";"157928839";"8021098773180";"Чайник Braun PurEase WK3110 WH";"'70";"Braun";"Продается";"1";"'0.00";"Показывается";;"2019-09-03 10:06:58";"Электронная кухонная техника";"'11.02";"'2.2";"0";"0";"0";"1";"1";"0";"6440.00";"8460.00";;;;"20%"
"'0X21010008";"15742035";"157928841";"8021098773166";"Чайник Braun Multiquick WK3100 WH";"'70";"Braun";"Продается";"3";"'1.00";"Показывается";;"2019-09-03 10:06:58";"Электронная кухонная техника";"'11.02";"'2.2";"1";"0";"0";"0";"0";"0";"5855.00";"7690.00";;;;"20%"
"'0X63221708";"15742043";"157928851";"4210201657712";"Чайник Braun Multiquick 3 WK300 белый";"'80";"Braun";"Готов к продаже";"12";"'5.00";"Показывается";;"2019-09-03 10:06:58";"Электронная кухонная техника";"'11.25";"'2.2";"0";"0";"0";"0";"0";"0";"6430.00";"9310.00";;;;"20%"
"'Б0027736";"15745920";"157936126";"4210201163343";"Мужская электробритва Braun Series 3 300s Red";"'87.5";"Braun";"Продается";"51";"'3.00";"Показывается";;"2019-09-03 13:12:07";"Электронные товары для красоты и здоровья";"'1.32";"'0.4";"7";"0";"0";"0";"0";"0";"9395.00";"12520.00";;;;"20%"
"'0127405000";"15746396";"157937854";"8021098270665";"Паровой утюг Braun SI3030PU";"'80";"Braun";"Продается";"12";"'3.70";"Показывается";;"2019-09-03 13:46:05";"Электронная техника для дома";"'7.20";"'1.4";"4";"0";"0";"0";"0";"0";"5615.00";"8370.00";;;;"20%"
"'81387938";"15746936";"157938911";"4210201072799";"Braun бритвенная сетка + блок Series3 31B";"'30";"Braun";"Продается";"28";"'4.90";"Показывается";;"2019-09-03 14:21:20";"Аксессуары для электроники";"'0.31";"'0.1";"2";"0";"0";"0";"0";"0";"4565.00";"7240.00";;;;"20%"
"'AX22110002";"15747035";"157941036";"8021098770400";"Braun MQ20, насадка кувшин-измельчитель, белый (350 мл)";"'32.5";"Braun";"Продается";"15";"'0.00";"Показывается";;"2019-09-03 14:31:30";"Аксессуары для электроники";"'1.94";"'0.4";"0";"0";"0";"3";"3";"0";"5660.00";"8310.00";;;;"20%"
"'AX22110001";"15747036";"157941037";"8021098770394";"Braun MQ10, White насадка-венчик для блендера";"'40";"Braun";"Продается";"17";"'5.00";"Показывается";;"2019-09-03 14:31:30";"Аксессуары для электроники";"'0.90";"'0.2";"2";"0";"0";"0";"0";"0";"4690.00";"6890.00";;;;"20%"
"'AX22110004";"15747038";"157941040";"8021098770424";"Braun MQ40 Big Chopper MQ5 Series, White емкость для блендера";"'37.5";"Braun";"Продается";"0";"'0.00";"Показывается";;"2019-09-03 14:31:30";"Аксессуары для электроники";"'12.53";"'2.5";"1";"0";"0";"0";"0";"0";"7960.00";"11700.00";;;;"20%"
"'AX22110019";"15747039";"157941042";"8021098770387";"Braun MQ50 Potato Masher, White насадка для блендера";"'30";"Braun";"Продается";"4";"'0.00";"Показывается";;"2019-09-03 14:31:30";"Аксессуары для электроники";"'3.89";"'0.8";"0";"0";"0";"1";"1";"0";"7185.00";"9700.00";;;;"20%"
