"Артикул";"Ozon Product ID";"SKU";"Barcode";"Наименование товара";"Контент-рейтинг";"Бренд";"Статус товара";"Отзывы";"Рейтинг";"Видимость на Ozon";"Причины скрытия";"Дата создания";"Категория комиссии";"Объем товара, л";"Объемный вес, кг";"Доступно к продаже по схеме FBO, шт.";"Вывезти и нанести КИЗ (кроме Твери), шт";"Зарезервировано, шт";"Доступно к продаже по схеме FBS, шт.";"Доступно к продаже по схеме realFBS, шт.";"Зарезервировано на моих складах, шт";"Текущая цена с учетом скидки, ₽";"Цена до скидки (перечеркнутая цена), ₽";"Цена Premium, ₽";"Рыночная цена, ₽";"Актуальная ссылка на рыночную цену";"Размер НДС, %"
"'I02095";"503482068";"956837977";"4981046350099";"Ингалятор компрессорный AND CN-233 / воздушный фильтр 5 шт / маска для взрослых и детей";"'92.5";"AND";"Продается";"13";"'5.00";"Показывается";;"2023-04-27 09:12:05";"Аптека";"'4.59";"'1.6";"7";"0";"0";"0";"0";"0";"4412.00";"6200.00";;;;"0%"
"'I01504";"503482069";"956842350";"4580198171042";"Компрессорный ингалятор (небулайзер) AND CN-231 маска для детей и взрослых";"'80";"AND";"Продается";"111";"'4.60";"Показывается";;"2023-04-27 09:12:05";"Аптека";"'6.93";"'2.0";"11";"0";"0";"59";"59";"0";"4770.00";"6710.00";;;;"0%"
"'I00332";"503545969";"956912307";"4981046250016";"Термометр экономичный цифровой электронный AND DT-501 / звуковой сигнал / с футляром";"'65";"AND";"Продается";"88";"'4.80";"Показывается";;"2023-04-27 09:53:24";"Аптека";"'0.32";"'0.1";"9";"0";"0";"0";"0";"0";"688.00";"0.00";;;;"0%"
"'I01174-ARCHIEVE";"503545970";"957073494";;"Термометр цифровой электронный с гибким нетравмирующим наконечником AND DT-623 / измерение за 60 сек / звуковой сигнал /с футляром";"'90";"AND";"Продается";"20";"'3.60";"Показывается";;"2023-04-27 09:53:24";"Аптека";"'0.32";"'0.1";"1";"0";"0";"0";"0";"0";"878.00";"0.00";;;;"0%"
"'I02134";"503545971";"956981133";"4981046250153";"Термометр цифровой детский с гибким нетравмирующим наконечником AND DT-624 ""Уточка"" / измерение за 60 сек / звуковой сигнал /с футляром";"'90";"AND";"Готов к продаже";"25";"'5.00";"Показывается";;"2023-04-27 09:53:24";"Аптека";"'0.32";"'0.1";"0";"0";"0";"0";"0";"0";"689.00";"0.00";;;;"0%"
"'I02135";"503545973";"956962502";"4981046250139";"Термометр цифровой детский с гибким нетравмирующим наконечником AND DT-624 ""Коровка"" / измерение за 60 сек / звуковой сигнал /с футляром";"'90";"AND";"Готов к продаже";"41";"'5.00";"Показывается";;"2023-04-27 09:53:24";"Аптека";"'0.32";"'0.1";"0";"0";"0";"0";"0";"0";"689.00";"0.00";;;;"0%"
"'I02136";"503545975";"957177052";"4981046250146";"Термометр цифровой детский с гибким нетравмирующим наконечником AND DT-624 ""Лягушка"" / измерение за 60 сек / звуковой сигнал /с футляром";"'90";"AND";"Готов к продаже";"30";"'4.40";"Показывается";;"2023-04-27 09:53:24";"Аптека";"'0.32";"'0.1";"0";"0";"0";"0";"0";"0";"829.00";"0.00";;;;"0%"
"'I01459";"503545979";"957219719";"4580198172032";"Термометр инфракрасный электронный AND DT-635 / бесконтактный / с футляром";"'90";"AND";"Продается";"99";"'4.60";"Показывается";;"2023-04-27 09:53:24";"Аптека";"'0.46";"'0.1";"9";"0";"0";"0";"0";"0";"1993.00";"2650.00";;;;"0%"
"'I01004";"504452165";"958670525";"4981046050579";"Тонометр автоматический с адаптером, манжета 23-37 см, AND UA-888 AC ЭКОНОМ, с дисплеем, на плечо";"'82.5";"AND";"Продается";"269";"'4.90";"Показывается";;"2023-04-28 09:06:35";"Аптека";"'2.00";"'0.6";"52";"0";"0";"0";"0";"0";"4526.00";"7060.00";;;;"0%"
"'I01005";"504452168";"958900167";"4981046159197";"Тонометр автоматический AND UA-780 / манжета 22-32 см";"'70";"AND";"Готов к продаже";"0";"'0.00";"Показывается";;"2023-04-28 09:06:35";"Аптека";"'1.73";"'0.6";"0";"0";"0";"0";"0";"0";"2985.00";"4190.00";;;;"0%"
"'I01003";"504452169";"958562034";"4981046050609";"Тонометр автоматический с адаптером, манжета 22-32 см, AND UA-888 EAC ЭКОНОМ, с дисплеем, на плечо";"'82.5";"AND";"Продается";"445";"'4.90";"Показывается";;"2023-04-28 09:06:35";"Аптека";"'1.84";"'0.6";"160";"0";"0";"0";"0";"0";"3770.00";"5530.00";;;;"0%"
"'I01002";"504452170";"958575783";"4981046050593";"Тонометр автоматический, на батарейках, манжета 22-32 см, AND UA-888 E ЭКОНОМ, на плечо";"'70";"AND";"Продается";"449";"'4.90";"Показывается";;"2023-04-28 09:06:35";"Аптека";"'1.84";"'0.5";"154";"0";"0";"0";"0";"0";"3072.00";"4140.00";;;;"0%"
"'I00043";"504452172";"958529562";"4981046050197";"Тонометр автоматический AND UA-777 со стандартной манжетой 22-32 см / яркий дисплей";"'82.5";"AND";"Продается";"429";"'4.90";"Показывается";;"2023-04-28 09:06:35";"Аптека";"'1.73";"'0.7";"156";"0";"0";"152";"152";"0";"5088.00";"7260.00";;;;"0%"
"'I02069";"504452173";"958638887";"4981046050470";"Тонометр автоматический AND UA-1100 / манжета 23-37 см / дисплей с подсветкой";"'62.5";"AND";"Продается";"90";"'4.90";"Показывается";;"2023-04-28 09:06:35";"Аптека";"'2.86";"'0.7";"31";"0";"0";"1";"1";"0";"9631.00";"14810.00";;;;"0%"
"'I00044";"504452174";"958594570";"4981046050203";"Тонометр автоматический на плечо AND UA-777ACL с большой манжетой 32-45 см / яркий дисплей";"'82.5";"AND";"Готов к продаже";"160";"'4.80";"Показывается";;"2023-04-28 09:06:35";"Аптека";"'3.84";"'0.8";"0";"0";"0";"0";"0";"0";"6720.00";"9870.00";;;;"0%"
"'I02071";"504452175";"958614864";"4981046050494";"Тонометр автоматический AND UA-1300 c голосовым помощником / манжета 23-37 см";"'70";"AND";"Продается";"61";"'4.90";"Показывается";;"2023-04-28 09:06:35";"Аптека";"'3.57";"'0.7";"5";"0";"0";"0";"0";"0";"9741.00";"13520.00";;;;"0%"
"'I02070";"504452176";"958625978";"4981046050487";"Тонометр автоматический AND UA-1200 / манжета 23-37 см / большой экран";"'62.5";"AND";"Продается";"52";"'4.90";"Показывается";;"2023-04-28 09:06:35";"Аптека";"'2.86";"'0.7";"18";"0";"0";"9";"9";"0";"11045.00";"15330.00";;;;"0%"
